id,rada_id,gender,surname,firstname,patronymic,faction,faction_position,committee,committee_position,int_organization,int_post,type_elect,party_id,num_in_party,district_num,region_id,date_oath,resignation_date,resignation_reason,birthday,presentAuto_present,presentAuto_absent,assistants_count_all,assistants_count_2,assistants_count_3,assistants_count_4,surname_en,firstname_en,patronymic_en
18090,35,1,Єфімов,Максим,Вікторович,,,3016.0,8.0,48.0,4.0,1,50,,48,14,2019-08-29T00:00:00,,,1974-11-01T00:00:00,24,3,18.0,3.0,3.0,3.0,Yefimov,Maksym,Viktorovych
21110,130,1,Іванісов,Роман,Валерійович,3025.0,918.0,3003.0,8.0,48.0,4.0,1,50,,153,56,2019-08-29T00:00:00,,,1978-11-02T00:00:00,27,0,10.0,3.0,3.0,3.0,Ivanisov,Roman,Valeriiovych
21112,162,1,Іванов,Володимир,Ілліч,3025.0,918.0,3014.0,8.0,78.0,17.0,1,226,,185,65,2019-08-29T00:00:00,,,1982-07-14T00:00:00,22,5,3.0,1.0,1.0,1.0,Ivanov,Volodymyr,Illich
15654,70,1,Іванчук,Андрій,Володимирович,,,,,313.0,3.0,1,50,,88,26,2019-08-29T00:00:00,,,1973-06-16T00:00:00,20,7,2.0,2.0,2.0,2.0,Ivanchuk,Andrii,Volodymyrovych
15733,12,1,Івахів,Степан,Петрович,3030.0,920.0,3006.0,916.0,27.0,4.0,1,50,,21,7,2019-08-29T00:00:00,,,1968-01-24T00:00:00,19,8,7.0,4.0,4.0,4.0,Ivakhiv,Stepan,Petrovych
18055,385,1,Івченко,Вадим,Євгенович,3027.0,918.0,3002.0,8.0,78.0,17.0,2,50,24,,,2019-08-29T00:00:00,,,1980-01-29T00:00:00,26,1,15.0,4.0,4.0,4.0,Ivchenko,Vadym,Yevhenovych
15672,408,2,Іонова,Марія,Миколаївна,3028.0,918.0,3047.0,917.0,76.0,718.0,2,228,23,,,2019-08-29T00:00:00,,,1978-05-31T00:00:00,26,1,8.0,3.0,3.0,3.0,Ionova,Mariia,Mykolaivna
21113,237,1,Іонушас,Сергій,Костянтинович,3025.0,918.0,3018.0,5.0,48.0,4.0,2,50,38,,,2019-08-29T00:00:00,,,1979-10-18T00:00:00,27,0,3.0,0.0,0.0,0.0,Ionushas,Serhii,Kostiantynovych
793,336,1,Іоффе,Юлій,Якович,3026.0,918.0,3008.0,5.0,74.0,497.0,2,227,12,,,2019-08-29T00:00:00,,,1940-12-10T00:00:00,27,0,5.0,1.0,1.0,1.0,Ioffe,Yulii,Yakovych
21114,339,1,Ісаєнко,Дмитро,Валерійович,3026.0,918.0,3014.0,7.0,,,2,227,15,,,2019-08-29T00:00:00,,,1967-08-30T00:00:00,20,7,11.0,3.0,3.0,3.0,Isaienko,Dmytro,Valeriiovych
2524,372,1,Абдуллін,Олександр,Рафкатович,3027.0,918.0,3005.0,7.0,27.0,4.0,2,17,11,,,2019-08-29T00:00:00,,,1962-06-29T00:00:00,23,4,10.0,7.0,7.0,7.0,Abdullin,Oleksandr,Rafkatovych
20964,338,1,Абрамович,Ігор,Олександрович,3026.0,918.0,3023.0,5.0,48.0,4.0,2,227,14,,,2019-08-29T00:00:00,,,1984-08-24T00:00:00,25,2,3.0,1.0,1.0,1.0,Abramovych,Ihor,Oleksandrovych
20965,131,1,Аліксійчук,Олександр,Васильович,3025.0,918.0,3131.0,917.0,61.0,4.0,1,50,,154,56,2019-08-29T00:00:00,,,1981-03-06T00:00:00,25,2,6.0,3.0,3.0,3.0,Aliksiichuk,Oleksandr,Vasylovych
17993,405,1,Алєксєєв,Сергій,Олегович,3028.0,918.0,3065.0,917.0,27.0,4.0,2,228,20,,,2019-08-29T00:00:00,,,1977-02-09T00:00:00,27,0,7.0,1.0,1.0,1.0,Alieksieiev,Serhii,Olehovych
20966,312,2,Аллахвердієва,Ірина,Валеріївна,3025.0,918.0,3175.0,917.0,48.0,4.0,2,50,116,,,2019-08-29T00:00:00,,,1978-08-26T00:00:00,23,4,2.0,2.0,2.0,2.0,Allakhverdiieva,Iryna,Valeriivna
20967,233,1,Ананченко,Михайло,Олегович,3025.0,918.0,3070.0,917.0,76.0,101.0,2,226,34,,,2019-08-29T00:00:00,,,1994-11-17T00:00:00,27,0,2.0,2.0,2.0,2.0,Ananchenko,Mykhailo,Olehovych
20968,69,1,Андрійович,Зіновій,Мирославович,3025.0,918.0,3041.0,917.0,27.0,4.0,1,50,,87,26,2019-08-29T00:00:00,,,1972-01-10T00:00:00,25,2,2.0,2.0,2.0,2.0,Andriiovych,Zinovii,Myroslavovych
11118,402,1,Ар'єв,Володимир,Ігорович,3028.0,918.0,3024.0,8.0,928.0,4.0,2,228,17,,,2019-08-29T00:00:00,,,1975-03-31T00:00:00,15,12,5.0,3.0,3.0,3.0,Ariev,Volodymyr,Ihorovych
20970,241,1,Арістов,Юрій,Юрійович,3025.0,918.0,3004.0,4.0,48.0,4.0,2,50,42,,,2019-08-29T00:00:00,,,1975-07-01T00:00:00,21,6,4.0,2.0,2.0,2.0,Aristov,Yurii,Yuriiovych
20969,204,1,Арахамія,Давид,Георгійович,,,3025.0,1028.0,48.0,1.0,2,50,4,,,2019-08-29T00:00:00,,,1979-05-23T00:00:00,15,12,2.0,1.0,1.0,1.0,Arakhamiia,Davyd,Heorhiiovych
18058,46,1,Арешонков,Володимир,Юрійович,,,3018.0,8.0,27.0,4.0,1,50,,64,18,2019-08-29T00:00:00,,,1957-12-17T00:00:00,27,0,7.0,3.0,3.0,3.0,Areshonkov,Volodymyr,Yuriiovych
20971,172,1,Арсенюк,Олег,Олексійович,3025.0,918.0,3021.0,8.0,928.0,4.0,1,50,,195,71,2019-08-29T00:00:00,,,1986-08-21T00:00:00,24,3,14.0,3.0,3.0,3.0,Arseniuk,Oleh,Oleksiiovych
20982,6,2,Білозір,Лариса,Миколаївна,3030.0,920.0,3125.0,917.0,48.0,4.0,1,50,,15,5,2019-08-29T00:00:00,,,1981-09-24T00:00:00,26,1,16.0,2.0,2.0,2.0,Bilozir,Larysa,Mykolaivna
